Base de datos DIPPR del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2          C3           C4       C5    Tmin, K  Tmax, K
 183  Hydrogen                      H2         12.69    -94.896     1.1125      3.2915E-04    2    13.95    33.19    A
 184  Hydrogenbromide               HBr        29.315   -2424.5    -1.1354     2.3806E-18    6    185.15   363.15   A
 185  Hydrogenchloride              HCl        104.27   -3731.2    -15.047     3.1340E-02    1    158.97   324.65   A
 186  Hydrogencyanide               CHN        36.75    -3927.1    -2.1245     3.8948E-17    6    259.83   456.65   A
 187  Hydrogenfluoride              HF         59.544   -4143.8    -6.1764     1.4161E-05    2    189.79   461.15   A
 188  Hydrogensulfide               H2S        85.584   -3839.9    -11.199     1.8848E-02    1    187.68   373.53   A
 189  Isobutyricacid                C4H8O2     110.38   -10540     -12.262     1.4310E-17    6    227.15   605      A
 190  Isopropylamine                C3H9N      136.66   -7201.5    -18.934     2.2255E-02    1    177.95   471.85   A
 191  Malonicacid                   C3H4O4     122.92   -16258     -13.113     2.0609E-18    6    407.95   805      A
 192  Methacrylicacid               C4H6O2     109.53   -10410     -12.289     3.1990E-06    2    288.15   662      A
 193  Methane                       CH4        39.205   -1324.4    -3.4366     3.1019E-05    2    90.69    190.56   A
 194  Methanol                      CH4O       82.718   -6904.5    -8.8622     7.4664E-06    2    175.47   512.5    A
 195  N-Methylacetamide             C3H7NO     79.128   -9523.9    -7.7355     3.1616E-18    6    301.15   718      A
 196  Methylacetate                 C3H6O2     61.267   -5618.6    -5.6473     2.1080E-17    6    175.15   506.55   A
 197  Methylacetylene               C3H4       50.242   -3811.9    -4.2526     6.5326E-17    6    170.45   402.4    A
 198  Methylacrylate                C4H6O2     107.69   -7027.2    -13.916     1.5185E-02    1    196.32   536      A
 199  Methylamine                   CH5N       75.206   -5082.8    -8.0919     8.1130E-06    2    179.69   430.05   A
 200  Methylbenzoate                C8H8O2     84.828   -9334.7    -8.7063     6.1723E-18    6    260.75   693      A
 201  3-Methyl-1,2-butadiene        C5H8       66.575   -5213.4    -6.7693     4.8106E-06    2    159.53   490      A
 202  2-Methylbutane                C5H12      71.308   -4976      -7.7169     8.7271E-06    2    113.25   460.4    A
