Base de datos Antoine del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2         C3          C4        C5    Tmin, K  Tmax, K
 244  Methyltert-butylether         C5HI2O     57.151   -5201.7    -5.1429     1.6529E-17    6    164.55   497.1    A
 245  Methylvinylether              C3H6O      51.085   -4271      -4.307      3.0530E-17    6    151.15   437      A
 246  Naphthalene                   C10H8      62.964   -8137.5    -5.6317     2.2675E-18    6    353.43   748.4    A
 247  Neon                          Ne         29.755   -271.06     -2.6081     5.2700E-04    2    24.56    44.4     A
 248  Nitroethane                   C2H5NO2    75.632   -7202.3    -7.6464     1.8250E-17    6    183.63   593      A
 249  Nitrogen                      N2         58.282   -1084.1    -8.3144     4.4127E-02    1    63.15    126.2    A
 250  Nitrogentrifluoride           F3N        68.149   -2257.9    -8.9118     2.3233E-02    1    66.46    234      A
 251  Nitromethane                  CH3NO2     57.278   -6089      -4.9821     1.2154E-17    6    244.6    588.15   A
 252  Nitrousoxide                  N2O        96.512   -4045      -12.277     2.8860E-05    2    182.3    309.57   A
 253  Nitricoxide                   NO         72.974   -2650      -8.261      9.7000E-15    6    109.5    180.15   A
 254  Nonadecane                    CI9H4O     182.54   -17897     -22.498     7.4008E-06    2    305.04   758      A
 255  Nonanal                       C9HI8O     337.71   -18506     -50.224     4.7345E-02    1    255.15   658      A
 256  Nonane                        C9H2O      109.35   -9030.4    -12.882     7.8544E-06    2    219.66   594.6    A
 257  Nonanoicacid                  C9HI8O2    137.6    -14948     -15.618     5.5660E-18    6    285.55   710.7    A
 258  1-Nonanol                     C9H2OO     162.854  -15205     -19.424     1.0722E-17    6    268.15   670.9    A
 259  2-Nonanol                     C9H2OO     146.46   -13813     -17.158     8.6279E-40    14   238.15   649.5    A
 260  1-Nonene                      C9HI8      63.313   -7040.4    -5.8055     7.5753E-18    6    191.91   593.1    A
 261  Nonylmercaptan                C9H2OS     106.2    -10982     -11.696     8.8955E-18    6    253.05   681      A
 262  1-Nonyne                      C9HI6      114.77   -9430.8    -13.631     8.1918E-06    2    223.15   598.05   A
 263  Octadecane                    C18H38     157.68   -16093     -18.954     5.9272E-06    2    301.31   747      A
 264  Octanal                       C8H16O     83.601   -8865.8    -8.5711     7.9446E-18    6    246      638.9    A
 265  Octane                        C8H18      96.084   -7900.2    -11.003     7.1802E-06    2    216.38   568.7    A
 266  Octanoicacid                  C8H16O2    140.16   -14813     -16.004     6.4239E-18    6    289.65   694.26   A
 267  1-Octanol                     C8H18O     144.111  -13667     -16.826     9.3666E-18    6    257.65   652.3    A
